Home Team Initials,Away Team Initials,weight,HomeGoalTotal
ALG,AUT,1,0
ALG,CHI,1,3
ALG,ESP,1,0
ALG,NIR,1,1
ALG,RUS,1,1
ALG,SVN,1,0
ANG,POR,1,0
ARG,BEL,4,4
ARG,BIH,1,2
ARG,BRA,3,2
ARG,BUL,3,3
ARG,CHI,1,3
ARG,CIV,1,2
ARG,CMR,1,0
ARG,CRO,1,1
ARG,ENG,3,4
ARG,ESP,1,2
ARG,FRA,2,3
ARG,FRG,2,4
ARG,GDR,1,1
ARG,GER,1,0
ARG,GRE,1,4
ARG,HAI,1,4
ARG,HUN,2,6
ARG,IRN,1,1
ARG,ITA,1,1
ARG,JAM,1,5
ARG,JPN,1,1
ARG,KOR,2,7
ARG,MEX,3,11
ARG,NED,1,3
ARG,NGA,3,4
ARG,NIR,1,3
ARG,PER,1,6
ARG,POL,1,2
ARG,ROU,1,1
ARG,SCG,1,6
ARG,SLV,1,2
ARG,SUI,3,4
ARG,URS,1,2
ARG,URU,1,1
ARG,USA,1,6
AUS,CHI,1,0
AUS,ESP,1,0
AUS,FRG,1,0
AUS,JPN,1,3
AUS,NED,1,2
AUS,SRB,1,2
AUT,ESP,1,2
AUT,FRA,2,3
AUT,FRG,1,3
AUT,HUN,1,2
AUT,NIR,1,2
AUT,SCO,1,1
AUT,SUI,1,7
AUT,SWE,1,1
AUT,TCH,2,5
AUT,URU,1,3
AUT,USA,1,2
BEL,ALG,1,2
BEL,ESP,1,1
BEL,HUN,1,1
BEL,KOR,2,3
BEL,KSA,1,0
BEL,MAR,1,1
BEL,MEX,2,3
BEL,NED,1,1
BEL,RUS,2,4
BEL,SLV,2,4
BEL,URS,1,0
BEL,URU,1,3
BEL,USA,2,4
BIH,IRN,1,3
BOL,ESP,1,1
BRA,ALG,1,1
BRA,ARG,1,0
BRA,AUS,1,2
BRA,AUT,2,4
BRA,BEL,1,2
BRA,BOL,1,4
BRA,BUL,1,2
BRA,CHI,5,13
BRA,CHN,1,4
BRA,CIV,1,3
BRA,CMR,1,3
BRA,COL,2,4
BRA,CRC,1,1
BRA,CRO,2,4
BRA,DEN,1,3
BRA,ENG,3,4
BRA,ESP,3,8
BRA,FRA,4,6
BRA,GDR,1,1
BRA,GER,2,2
BRA,GHA,1,3
BRA,ITA,3,6
BRA,MAR,1,3
BRA,MEX,4,11
BRA,NED,3,1
BRA,NOR,1,1
BRA,NZL,1,4
BRA,PER,2,7
BRA,POL,4,13
BRA,PRK,1,2
BRA,ROU,1,3
BRA,RUS,1,2
BRA,SCO,3,7
BRA,SUI,1,2
BRA,SWE,5,19
BRA,TCH,5,10
BRA,TUR,2,3
BRA,URS,2,4
BRA,URU,1,3
BRA,USA,1,1
BRA,WAL,1,1
BRA,YUG,3,3
BUL,GER,1,2
BUL,GRE,1,4
BUL,ITA,2,2
BUL,MAR,1,1
BUL,NED,1,1
BUL,URU,1,1
CAN,FRA,1,0
CHI,AUS,1,3
CHI,AUT,2,1
CHI,CMR,1,1
CHI,ESP,1,1
CHI,FRA,1,1
CHI,GDR,1,1
CHI,ITA,1,2
CHI,MEX,1,3
CHI,SUI,2,4
CHI,URS,1,2
